Nov 13 04:01:38 <darutoko>	net, eto chto?
Nov 13 04:02:02 -NickServ-	You are now identified for ichaleynbin.
Nov 13 04:02:03 <ichaleynbin>	pardon?
Nov 13 04:02:16 <V2g6cH4>	po electronike curs
Nov 13 04:02:40 <V2g6cH4>	ichaleynbin, cp-1251 vs utf-8, we use translit )
Nov 13 04:02:49 <darutoko>	ya bol'she po programorovaniyu
Nov 13 04:03:12 <V2g6cH4>	tusur?
Nov 13 04:03:17 <darutoko>	J_j
Nov 13 04:03:19 <darutoko>	O_o
Nov 13 04:03:25 <darutoko>	net
Nov 13 04:03:34 <V2g6cH4>	hmm
Nov 13 04:03:37 <darutoko>	ya davno zakonchil univer
Nov 13 04:03:41 <V2g6cH4>	aaa )
Nov 13 04:03:41 <darutoko>	TPU
Nov 13 04:03:47 <V2g6cH4>	ya na 5 curse xD
Nov 13 04:04:25 *	epuc (~megatron@unaffiliated/cowabunga) has joined ##edx-ai
Nov 13 04:04:25 <darutoko>	tomsk?
Nov 13 04:04:25 <epuc>	Здравствуйте, друзья
Nov 13 04:04:28 <V2g6cH4>	хай
Nov 13 04:04:30 <V2g6cH4>	))
Nov 13 04:04:46 <epuc>	:3
Nov 13 04:04:50 <epuc>	Как поживаешь?
Nov 13 04:04:54 <fuddballs>	8=========D
Nov 13 04:04:56 <V2g6cH4>	ЗБС xD
Nov 13 04:05:07 <dreamko_>	guys, really. this is an english-speaking channel
Nov 13 04:05:10 <epuc>	Sorry chief
Nov 13 04:05:13 <epuc>	Is this better?
Nov 13 04:05:28 <dreamko_>	Much better ;)
Nov 13 04:05:28 <V2g6cH4>	лол
Nov 13 04:05:35 <fuddballs>	i can't speak english
Nov 13 04:05:35 <V2g6cH4>	INTERNATIONAL CHANNEL
Nov 13 04:05:38 <fuddballs>	loljks
Nov 13 04:05:41 <ichaleynbin>	lol#fudballs
Nov 13 04:05:43 <fuddballs>	russian is too hard
Nov 13 04:05:46 <V2g6cH4>	так что пошли нахуй
Nov 13 04:05:47 <V2g6cH4>	уебки
Nov 13 04:05:51 <V2g6cH4>	xDD
Nov 13 04:05:57 <epuc>	lol
